Squamata,Tropiduridae,,,,Tropidurus sp.
Squamata,Liolaemidae,,,,Phymaturus punae
Squamata,Liolaemidae,,,,Phymaturus somuncurensis
Crocodilia,Crocodylidae,,,,Crocodylus sp.
Squamata,Dipsadidae,,,,Alsophis dorsalis
Squamata,Colubridae,,,,Colubridae sp.
Squamata,Liolaemidae,,,,Liolaemus crandalli
Testudines,Testudinidae,Angulate Tortoise,,,Chersina angulata
Squamata,Liolaemidae,,,,Liolaemus cuyumhue
Squamata,Leiocephalidae,,,,Leiocephalus stictigaster
Squamata,Varanidae,Rock Monitor,,,Varanus albigularis
Squamata,Colubridae,,,Cobra-cipó,Chironius brazili
Squamata,Dactyloidae,Transverse Anole,,,Anolis transversalis
Squamata,Lacertidae,Bluetailed Sandveld Lizard,,,Nucras caesicaudata
Squamata,Lacertidae,Namaqua Sand Lizard,,,Pedioplanis namaquensis
Squamata,Scincidae,African Striped Skink,,,Trachylepis striata
Squamata,Scincidae,Cape Skink,,,Trachylepis capensis
Squamata,Liolaemidae,,,,Liolaemus tregenzai
Squamata,Liolaemidae,,,,Liolaemus buergeri
Squamata,Dactyloidae,Whater Anole,,,Anolis aquaticus
Squamata,Viperidae,,,,Crotalus viridis
Squamata,Liolaemidae,,,,Liolaemus cuyanus
Squamata,Teiidae,,,Jacuruxi,Dracaena guianensis
Squamata,Leiosauridae,,,,Pristidactylus scapulatus
Squamata,Liolaemidae,,,,Liolaemus fitzgeraldi
Squamata,Dactyloidae,Roughskin Anole,,Papa-vento,Anolis trachyderma
Squamata,Elapidae,,,,Micrurus sp.
Squamata,Gekkonidae,Augrabies Gecko,,,Pachydactylus atorquatus
Testudines,Chelydridae,Common Snapping Turtle,,,Chelydra serpentina
Squamata,Leptotyphlopidae,,,,Epictia vellardi
Squamata,Gerrhosauridae,Yellow-throated Plated Lizard,,,Gerrhosaurus flavigularis
Squamata,Liolaemidae,,,,Liolaemus elongatus
Squamata,Leiosauridae,,,,Enyalius leechii
Squamata,Dactyloidae,,,,Anolis gaigei
Squamata,Leiosauridae,,,Papa-vento,Enyalius iheringii
Squamata,Gymnophthalmidae,,,,Cercosaura sp.
Squamata,Teiidae,Western Whiptail,,,Aspidoscelis tigris
Squamata,Colubridae,,,,Thamnodynastes nattereri
Squamata,Liolaemidae,,,,Liolaemus ruibali
Squamata,Chamaeleonidae,Rwenzoni Three -horned Chamaleon,,,Trioceros jonstoni
Squamata,Gymnophthalmoidea,Taylor’s Large-scaled Lizard,,,Alopoglossus plicatus
Squamata,Scincidae,Black-spotted Skink,,Calango-liso,Copeoglossum nigropunctatum
Squamata,Liolaemidae,,,,Liolaemus avilae
Squamata,Liolaemidae,,,,Liolaemus monticola
Squamata,Liolaemidae,,,,Liolaemus kolengh
Squamata,Teiidae,,,,Holcosus festivus
Squamata,Dactyloidae,,,,Anolis callainus
Squamata,Liolaemidae,,,,Liolaemus gracielae
Squamata,Amphisbaenidae,,,,Amphisbaena bolivica
Squamata,Teiidae,,,,Ameiva sp.
Squamata,Liolaemidae,,,,Liolaemus loboi
Squamata,Liolaemidae,,,,Liolaemus cyanogaster
Squamata,Liolaemidae,,,,Liolaemus smaug
Squamata,Scincidae,,,,Emoia atrocostata
Squamata,Iguanidae,,,,Basiliscus galeritus
Squamata,Gymnophthalmidae,,,,Colobodactylus taunayi
Squamata,Varanidae,Nile Monitor,,,Varanus niloticus
Squamata,Leiosauridae,,,,Enyalius bilineatus
Squamata,Liolaemidae,,,,Liolaemus inacayali
